sentence,word_count,confidence,date,time,original_audio
"I know. But fuck that. Yeah on see what I, what I would say.",14,0.7643758654594421,07/17/21,21:52,210717_2152.wav
" I have no clue what how things are going to be on campus. I don't know what the fuck is going to happen. I would say, like, don't try to do the group chat, the group chat sucks group chat. A fucking sucks.",43,0.9045345187187196,07/17/21,21:52,210717_2152.wav
" Yes. Yes, animal thing that I have a couple groups and I'm doing shit with. My thing is either feel like you're being really bad. If you're you are valued in the group so fucking get out of them. Like what the fuck do you know? Like I want to see if people don't get the people don't value the value value fuck you. And that's not, that's not your crew, then that's fine. You know, there are so many people out there and in fact, like what I don't like about groups is that they limit you sometimes. For me like I'm someone who's like, I'd much rather be in. This is just me and don't answer you. I'm not sure either be on the have like friends, a little bit of friends everywhere and have my individual friends that like will fucking Bath Beyond College it like that. And so,",152,0.9607747793197632,07/17/21,21:52,210717_2152.wav
 I quit everything.,3,0.5875456929206848,07/17/21,21:52,210717_2152.wav
 I'd be lying if I said that I really knew how it would what how it works and I'm looking to like say some heartfelt thing that like I'm I'm not sure what they're going to be like yeah there's nothing. There's no like a plan that you can have fun on the sea like the only advice I said happy with the fact that like I think sometimes like,70,0.959932506084442,07/17/21,21:52,210717_2152.wav
 Cuz you like the can I say something bold that like I'm this is about you that I can't give it to you. Yeah.,24,0.865152895450592,07/17/21,21:52,210717_2152.wav
" You try to control your future and you try to control your life with such, like talkative from the top down.",21,0.954758882522583,07/17/21,21:52,210717_2152.wav
" I feel like sometimes, you sometimes, you like obscure the genuine, this stuff behind it, I think. And that, like level of controlled, it was like, will lock you up in some of these social situations. Because I mean, I feel like you couldn't like, you can record it all that shit. That's not to come with some of this shit because I think that you, like manage your life as if it is like the lot due south. Of course, all of us are just walking amalgams of our parents and our experiences like I ain't, I know that, right? Everyone's growing like I have a basic my way up to attending or throwing up with being anxious and being on the site, I'm being on that. Like, like painting myself as like a mysterious, like character doing isn't paying his own way and do some projects and chat. And I was like my defense robots have these defenses. But like, ultimately on my conscience told me, it's like really accept people. And I tried like being more positive things, and we all growing on our own things. I",190,0.9723595976829528,07/17/21,21:52,210717_2152.wav
 Don't stop trying to find it. That's nothing that's going to help you.,13,0.9282160997390748,07/17/21,21:52,210717_2152.wav
" Oh yeah, girlfriend.",3,0.943037450313568,07/17/21,21:52,210717_2152.wav
 Oh wow. The setting.,4,0.6987491250038147,07/17/21,21:52,210717_2152.wav
 How you doing?,3,0.9473159909248352,07/17/21,21:52,210717_2152.wav
 Nice to meet you.,4,0.8862236738204956,07/17/21,21:52,210717_2152.wav
 It is like a cutie.,5,0.8888945579528809,07/17/21,21:52,210717_2152.wav
